source_url,final_url,canonical_url,slug,product_id,name,brand,is_product_page,availability,price_eur,sale_price_eur,currency,product_type,condition,gtin,meta_description,og_description,description,expert_notes,image_count,image_urls,model,shape,foam,weight_raw,weight_g,balance,width,surface,core,level,racket_type,texture,gender,technologies,brand_from_spec,power,control,comfort,maneuverability,effect,tolerance
https://www.padelreference.com/en/padel-rackets/p/nox-silhouette-casual-2023,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/cartri-knife,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/cartri-fighter,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/mono-fuerte-green-2022,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/drop-shot-ego,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/drop-shot-explorer-pro-40,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/wilson-pro-staff-elite-v2,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/nox-ml10-pro-cup-rough-surface,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/nox-equation-lady-wpt-advanced-series-2023,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/nox-x-one-casual-series-2023,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/nox-ml10-pro-cup-coorp,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/nox-ml10-pro-cup-silver-2023,https://www.padelreference.com/en/padel-rackets,https://www.padelreference.com/en/padel-rackets,padel-rackets,,,,False,,,,,,,,"Discover our selection of padel rackets suitable for all players, from beginners to competitors. Performance, comfort, and technology at competitive prices. Fast delivery and personalized advice at PadelReference.com.",,,,0,[],,,,,,,,,,,,,,,,,,,,,
https://www.padelreference.com/en/padel-rackets/p/head-speed-pro-2024,https://www.padelreference.com/en/padel-rackets/p/head-speed-pro-2024,https://www.padelreference.com/en/padel-rackets/p/head-speed-pro-2024,head-speed-pro-2024,924,Padel racket Head Speed Pro 2024,Head,True,out_of_stock,119.9,119.9,EUR,Padel rackets_en,new,,"The Head Speed ​​Pro Padel Racket, With A Teardrop Shape And Head Balance, Provides Maximum Power At Impact.","The Head Speed Pro padel racket features a drop-shaped design and a head-heavy balance, providing you with maximum power on impact.","Your Padel Head Speed Pro 2024 racket - 2023 CollectionFor lovers of the Head brand, the Head Speed Pro racket takes up the codes, shape and playability of the old Head Alpha Pro.Offensive racket, it perfectly represents the balance between power, aggressiveness and comfort of play. Ideal racket for experienced and expert players who wish to improve the power of their shot.Composition CoreThe head Speed Pro racket is made up of the essential “Power Foam” at its core. This historic ""soft"" foam from the Austrian brand Head guarantees you a very comfortable touch while giving you great speed in your ball strikes. The result is worth the detour!Covering / FrameThe Head Speed Pro model is made from a combination of carbon fiber and fiberglass on both sides. The fiberglass provides comfort at impact, more flexible you will find a more pleasant sensation while gaining ball speed when leaving the racket. The carbon fiber will add rigidity and resistance to the racket to gain precision, power and durability.New for 2024! The frame of this new Head Speed Pro uses “Graphene Inside”. Graphene Inside technology is the new adaptation of graphene material. It is methodically placed in the frame and on the surfaces of the racket to optimize the performance of the material. Derived from carbon, graphene provides maximum stability and optimizes energy transfer from the blade to the ball.Additional technologiesAuxetic: New for 2024 Use of Auxetic materials which expand when stretched which improves the responsiveness of the racket upon impact with the ballSoft Buttcap: New for 2024, this soft buttcap technology is an addition of shock-absorbing rubber to the handle of the racket.Smart Bridge technology was developed to allow the racket to adapt to the user's playing style.The Skin Padel anti-shock system, a technology unique to Head, creates additional protection against shocks, to minimize the consequences over time of shocks and limit scratches.The ideal hitting zone is optimized thanks to ""Optimized Sweet Spot"" technology for a good adaptation of the racket to its player.Who is the ideal player for the Head Speed Pro ?The Padel Head Speed Pro racket is aimed at confirmed and expert level players looking for a combination between precision and power. Pleasant both in defense and on attack shots, it will make you perform well while having fun. It nevertheless remains more aggressive and less maneuverable than the Speed Elite and the Speed Motion.If you are looking for more rigidity and a better feeling of power in your game, the Speed Pro X version from Head is made for you!The Coach's EyeWith the Head Speed Pro, you get a very comfortable, offensive Padel racket with an emphasis on power. I was particularly amazed by the feeling of comfort it provides as well as its tolerance during off-center strikes.Offensive racket with a high balance and a weight of 370g, it will be a formidable weapon and feared by your opponents. The finishing touches will no longer hold any secrets for you!The design of this Padel racketThe Head Speed Pro racket has a dark design between anthracite and black with small touches of copper. This sober and sparkling color combination gives the Head Speed Motion racket an elegant and high-end look.","The Head Speed Pro padel racket features a drop-shaped design and a head-heavy balance, providing you with maximum power on impact.",5,"[""https://www.padelreference.com/storage/4918/raquette-head-speed-pro-2023.webp"", ""https://www.padelreference.com/storage/4919/raquette-head-speed-pro-2023.webp"", ""https://www.padelreference.com/storage/4920/raquette-head-speed-pro-2023.webp"", ""https://www.padelreference.com/storage/4921/raquette-head-speed-pro-2023.webp"", ""https://www.padelreference.com/storage/4922/raquette-head-speed-pro-2023.webp""]",,Teardrop,Hybrid / Intermediate,370g,370,Balanced,,Carbon Fiber,,,,,Men,,,9,8,8,6,6,8
